Hst Nr.,Hst Name,Ort,Gkz,Orts ID,Gültigkeit,Steig,Bereich Nr.,Steigname,RBL Nr.,Kurzbezeichnung,Globale ID,X-Koordinate (STVH),Y-Koordinate (STVH),Georeferenz (STVH),Straßenname,Format,Vitrine,Buchsatz,Aushangfahrplan,ZOB,EFA,DFI Zieltext (Anzeigepriorität),Fußgänger,Radfahrer,Motor. Straßenverkehr,Bevorrechtigter IV (Busse),Eisenbahn,Straßenbahn,U-Bahn,Schiff,X,Y
1,Josefskirche,Voitsberg,46016025,9,28.02.1994 - 24.12.2500,ein,0,ein,1,,at:46:1:0:1,659735,786888,78386,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.144269,47.050959
1,Josefskirche,Voitsberg,46016025,9,28.02.1994 - 24.12.2500,aus,0,aus,2,,at:46:1:0:2,659756,786879,78386,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.144543,47.051043
2,Hauptplatz,Voitsberg,46016025,9,28.02.1994 - 24.12.2500,ein,1,ein,2,,at:46:2:0:1,660130,787044,78286,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.149497,47.049610
2,Hauptplatz,Voitsberg,46016025,9,28.02.1994 - 24.12.2500,aus,2,aus,1,,at:46:2:0:2,660262,787120,78547,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.151249,47.048944
3,Hauptschule,Voitsberg,46016025,9,28.02.1994 - 24.12.2500,kowa,0,Kowald,2,,at:46:3:0:1,660372,787544,2009015041,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.152781,47.045146
3,Hauptschule,Voitsberg,46016025,9,28.02.1994 - 24.12.2500,voit,0,Voitsberg,1,,at:46:3:0:2,660386,787549,2009015041,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.152966,47.045103
4,Gustibar,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,kowa,0,Kowald,2,,at:46:4:0:1,660441,788100,78395,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.153799,47.040156
4,Gustibar,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,voit,0,Voitsberg,1,,at:46:4:0:2,660458,788093,78395,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.154021,47.040221
5,Koppn Kapelle,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:5:0:1,661621,789023,78531,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.169503,47.032014
5,Koppn Kapelle,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:5:0:2,661641,789025,78531,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.169767,47.031999
8,ehemaliges Gemeindeamt,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:8:0:1,661686,789624,2009028550,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.170476,47.026618
8,ehemaliges Gemeindeamt,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:8:0:2,661669,789624,2009028550,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.170252,47.026616
9,Trafo,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:9:0:1,661188,789330,2009028554,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.163868,47.029195
9,Trafo,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:9:0:2,661177,789341,2009028554,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.163726,47.029095
10,Gh Wagner,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:10:0:1,660622,789059,2009015073,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.156370,47.031556
10,Gh Wagner,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:10:0:2,660617,789081,2009015073,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.156309,47.031357
11,Ahornweg,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:11:0:1,660085,788872,78502,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.149270,47.033164
11,Ahornweg,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:11:0:2,660095,788884,78502,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.149404,47.033058
12,Blickweg,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:12:0:1,659788,788973,2009015074,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.145383,47.032215
12,Blickweg,Arnstein (Voitsberg),46016025,1,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:12:0:2,659791,788950,2009015074,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.145418,47.032423
13,Gh Waldseppl,Kowald,46016025,2,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:13:0:1,658689,788241,78201,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.130780,47.038647
13,Gh Waldseppl,Kowald,46016025,2,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:13:0:2,658713,788250,78201,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.131097,47.038570
14,Falkenweg Schweigler,Kowald,46016025,2,28.02.1994 - 24.12.2500,kowa,0,Kowald,2,,at:46:14:0:1,658518,787847,78223,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.128450,47.042167
14,Falkenweg Schweigler,Kowald,46016025,2,28.02.1994 - 24.12.2500,voit,0,Voitsberg,1,,at:46:14:0:2,658527,787864,78223,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.128572,47.042015
15,Bienengasse,Kowald,46016025,2,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:15:0:1,658713,787772,78221,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.131000,47.042868
15,Bienengasse,Kowald,46016025,2,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:15:0:2,658726,787780,78221,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.131173,47.042798
16,Ziegelwerk,Kowald,46016025,2,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:16:0:1,659085,787350,78401,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.135809,47.046715
16,Ziegelwerk,Kowald,46016025,2,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:16:0:2,659103,787365,78401,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.136049,47.046582
17,Gh Schlosshiasl,Kowald,46016025,2,28.02.1994 - 24.12.2500,kowa,0,Kowald,1,,at:46:17:0:1,659308,787228,78496,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.138719,47.047843
17,Gh Schlosshiasl,Kowald,46016025,2,28.02.1994 - 24.12.2500,voit,0,Voitsberg,2,,at:46:17:0:2,659322,787239,78496,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.138905,47.047746
19,Schönausiedlung,Frohnleiten (Bz GU),46006010,9,28.02.1994 - 24.12.2500,baus,0,baus,2,,at:46:19:0:1,673958,762027,63186,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.327196,47.276341
19,Schönausiedlung,Frohnleiten (Bz GU),46006010,9,28.02.1994 - 24.12.2500,bein,0,bein,1,,at:46:19:0:2,673936,762040,63186,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.326908,47.276221
20,Kühau,Frohnleiten (Bz GU),46006010,9,28.02.1994 - 24.12.2500,baus,0,baus,2,,at:46:20:0:1,673262,761550,63186,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.317917,47.280549
20,Kühau,Frohnleiten (Bz GU),46006010,9,28.02.1994 - 24.12.2500,bein,0,bein,1,,at:46:20:0:2,673250,761570,63186,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.317762,47.280368
21,Schwimmbad Schweizer,Rothleiten (Stmk),46006010,24,01.01.2000 - 24.12.2500,baus,0,baus,2,,at:46:21:0:1,673087,761429,63186,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.315583,47.281617
21,Schwimmbad Schweizer,Rothleiten (Stmk),46006010,24,01.01.2000 - 24.12.2500,bein,0,bein,1,,at:46:21:0:2,673083,761457,63186,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.315535,47.281364
22,Gh Sternadl,Rothleiten (Stmk),46006010,24,01.01.2000 - 24.12.2500,baus,0,baus,2,,at:46:22:0:1,672548,761453,63172,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.308464,47.281337
22,Gh Sternadl,Rothleiten (Stmk),46006010,24,01.01.2000 - 24.12.2500,bein,0,bein,1,,at:46:22:0:2,672563,761462,70572,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.308664,47.281258
23,Schloss Weyer,Rothleiten (Stmk),46006010,24,01.01.2000 - 24.12.2500,fron,0,fron,2,,at:46:23:0:1,672176,761696,2009025777,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.303591,47.279108
23,Schloss Weyer,Rothleiten (Stmk),46006010,24,01.01.2000 - 24.12.2500,gag,0,gag,1,,at:46:23:0:2,672176,761699,2009025777,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.303591,47.279081
24,Höselesiedlung,Gams bei Frohnleiten,46006010,10,28.02.1994 - 24.12.2500,fron,0,fron,2,,at:46:24:0:1,671425,761838,2009025784,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.293691,47.277741
24,Höselesiedlung,Gams bei Frohnleiten,46006010,10,28.02.1994 - 24.12.2500,gag,0,gag,1,,at:46:24:0:2,671425,761841,2009025784,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.293692,47.277714
25,Gh Kainz,Gams bei Frohnleiten,46006010,10,28.02.1994 - 24.12.2500,fron,0,fron,2,,at:46:25:0:1,670705,761847,2009031712,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.284178,47.277573
25,Gh Kainz,Gams bei Frohnleiten,46006010,10,28.02.1994 - 24.12.2500,gag,0,gag,1,,at:46:25:0:2,670706,761844,2009031712,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.284191,47.277600
26,Hammerherrenhaus,Gamsgraben,46006010,11,28.02.1994 - 24.12.2500,fron,0,fron,2,,at:46:26:0:1,669976,761335,63447,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.274453,47.282089
26,Hammerherrenhaus,Gamsgraben,46006010,11,28.02.1994 - 24.12.2500,gag,0,gag,1,,at:46:26:0:2,669974,761338,63447,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.274427,47.282061
27,Herlerkreuz,Gamsgraben,46006010,11,28.02.1994 - 24.12.2500,schl,0,schleife,1,,at:46:27:0:1,669534,760921,63439,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.268537,47.285757
28,Bahnhof,Gleisdorf,46017013,1,28.02.1994 - 24.12.2500,g3,3,3,3,3,at:46:28:0:2,702669,782018,1999482258,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,15.708747,47.099249
28,Bahnhof,Gleisdorf,46017013,1,28.02.1994 - 24.12.2500,g1,1,1,1,1,at:46:28:0:1,702681,781994,1999482257,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,15.708903,47.099465
28,Bahnhof,Gleisdorf,46017013,1,28.02.1994 - 24.12.2500,g2,3,2,2,2,at:46:28:0:3,702673,782011,1999482258,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,15.708799,47.099312
28,Bahnhof,Gleisdorf,46017013,1,28.02.1994 - 24.12.2500,hart,2,Hartberg / Fürstenfeld,2,,at:46:28:0:4,702641,781938,80919,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.708370,47.099966
28,Bahnhof,Gleisdorf,46017013,1,28.02.1994 - 24.12.2500,gldf,2,Graz,1,,at:46:28:0:5,702624,781930,80919,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.708145,47.100037
29,Bergwirt,Gamling,46017034,5,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:29:0:1,704233,778460,13482,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.728984,47.131362
29,Bergwirt,Gamling,46017034,5,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:29:0:2,704297,778332,13444,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.729815,47.132518
30,Gh Seidl,Wolfgruben/Ilztal,46017021,11,28.02.1994 - 24.12.2500,hart,1,Hartberg B54,2,,at:46:30:0:1,705542,777380,13195,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.746129,47.141166
30,Gh Seidl,Wolfgruben/Ilztal,46017021,11,28.02.1994 - 24.12.2500,hart2,2,Hartberg Gemeindestraße,3,,at:46:30:0:2,705786,777378,82341,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.749345,47.141201
30,Gh Seidl,Wolfgruben/Ilztal,46017021,11,28.02.1994 - 24.12.2500,gldf,1,Gleisdorf B54,1,,at:46:30:0:3,705553,777356,13195,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.746272,47.141383
30,Gh Seidl,Wolfgruben/Ilztal,46017021,11,28.02.1994 - 24.12.2500,gldf2,2,Gleisdorf Gemeindestraße,4,,at:46:30:0:4,705798,777375,82341,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.749503,47.141228
31,Bundesstraße,Schattauberg,46017021,9,28.02.1994 - 24.12.2500,hart,0,Hartberg,1,,at:46:31:0:1,706642,777106,13128,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.760603,47.143704
31,Bundesstraße,Schattauberg,46017021,9,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,2,,at:46:31:0:2,706575,777083,13128,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.759717,47.143907
32,Sangfeld,Hart/Pischelsdorf,46017037,3,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:32:0:1,708153,774302,12434,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.780259,47.169023
32,Sangfeld,Hart/Pischelsdorf,46017037,3,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:32:0:2,708078,774303,12434,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.779270,47.169009
33,Rundparkplatz,Pischelsdorf (Stmk),46017037,9,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:33:0:1,710202,773937,12333,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.807251,47.172434
33,Rundparkplatz,Pischelsdorf (Stmk),46017037,9,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:33:0:2,710096,774016,12358,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.805860,47.171717
34,Rotes Kreuz,Kleinpesendorf,46017037,6,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:34:0:1,710770,772416,11817,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.814609,47.186149
34,Rotes Kreuz,Kleinpesendorf,46017037,6,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:34:0:2,710746,772483,12013,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.814299,47.185545
35,Kapelle,Hirnsdorf,46017018,1,28.02.1994 - 24.12.2500,hirn,0,Hirnsdorf,1,,at:46:35:0:2,711843,771622,81830,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.828698,47.193354
35,Kapelle,Hirnsdorf,46017018,1,28.02.1994 - 24.12.2500,growi,0,Großwilfersdorf,2,,at:46:35:0:1,711837,771629,81830,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.828619,47.193291
36,P+R,Kaibing,46007014,2,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:36:0:1,712482,771336,11518,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.837106,47.195964
36,P+R,Kaibing,46007014,2,28.02.1994 - 24.12.2500,hart2,0,Stubenberg,4,,at:46:36:0:2,712584,771227,11482,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.838442,47.196950
36,P+R,Kaibing,46007014,2,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf (Bundesstraße),1,,at:46:36:0:3,712481,771327,11518,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.837092,47.196045
36,P+R,Kaibing,46007014,2,28.02.1994 - 24.12.2500,gldf2,0,Gleisdorf (Landesstraße),3,,at:46:36:0:4,712558,771257,11482,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.838102,47.196679
37,Bundesstraße,Maria Fieberbründl,46007014,4,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:37:0:1,713451,770273,2009012824,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.849805,47.205580
37,Bundesstraße,Maria Fieberbründl,46007014,4,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:37:0:2,713417,770270,2009012824,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.849356,47.205605
38,Abzweigung Ort,Untertiefenbach/Stmk,46007044,5,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:38:0:1,715485,769320,2009042540,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.876577,47.214262
38,Abzweigung Ort,Untertiefenbach/Stmk,46007044,5,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:38:0:2,715622,769261,2009042539,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.878381,47.214800
38,Abzweigung Ort,Untertiefenbach/Stmk,46007044,5,28.02.1994 - 24.12.2500,ort,0,Hartberg (Landesstraße 414),3,,at:46:38:0:3,715516,769256,2009042536,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.876981,47.214840
39,Ort,Kaindorf (Hartberg),46007015,5,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:39:0:1,718009,768117,10264,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.909808,47.225212
39,Ort,Kaindorf (Hartberg),46007015,5,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:39:0:2,717973,768145,10330,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.909335,47.224958
40,Abzweigung Ort,Kopfing bei Kaindorf,46007015,6,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:40:0:1,719067,766737,9745,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.923681,47.237675
40,Abzweigung Ort,Kopfing bei Kaindorf,46007015,6,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:40:0:2,719045,766739,9745,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.923391,47.237656
41,Abzweigung Ort,Mitterdombach,46007011,11,28.02.1994 - 24.12.2500,hart,0,Hartberg,2,,at:46:41:0:1,720041,764972,2009012835,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.936425,47.253596
41,Abzweigung Ort,Mitterdombach,46007011,11,28.02.1994 - 24.12.2500,gldf,0,Gleisdorf,1,,at:46:41:0:2,720015,765009,9437,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.936084,47.253262
42,Ost,Zwaring,46006058,9,13.02.2001 - 24.12.2500,wun,0,Wundschuh,1,,at:46:42:0:1,680135,802550,20378,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.415129,46.912574
42,Ost,Zwaring,46006058,9,13.02.2001 - 24.12.2500,glst,0,Preding,2,,at:46:42:0:2,680120,802553,20378,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.414933,46.912546
43,Zisser,Dienersdorf,46007004,5,29.11.1995 - 24.12.2500,kopf,0,Kopfing,1,,at:46:43:0:1,718589,766421,52300,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.917346,47.240494
43,Zisser,Dienersdorf,46007004,5,29.11.1995 - 24.12.2500,dibg,0,Dienersberg,2,,at:46:43:0:2,718585,766400,52300,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.917292,47.240683
44,Krammersdorf,Krammersdorf,46017020,11,28.02.1994 - 24.12.2500,pass,0,Passail,1,,at:46:44:0:1,689836,761883,8606,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.537005,47.279291
44,Krammersdorf,Krammersdorf,46017020,11,28.02.1994 - 24.12.2500,weiz,0,Weiz,2,,at:46:44:0:2,689839,761906,8606,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.537048,47.279085
46,Bahnhof,Weiz,46017055,2,28.02.1994 - 24.12.2500,g1,1,1,1,1,at:46:46:0:1,696812,769108,1999481808,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,15.630065,47.214915
46,Bahnhof,Weiz,46017055,2,28.02.1994 - 24.12.2500,ftb,3,ftb,3,,at:46:46:0:4,696893,769244,1999481812,,Voreinstellung,Ja,Nein,Nein,Nein,Nein,,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,15.631150,47.213699
46,Bahnhof,Weiz,46017055,2,28.02.1994 - 24.12.2500,grz,2,grz,2,,at:46:46:0:2,696825,769139,2009043728,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.630240,47.214637
